Variable,Climatology
rsus,"[  -1.09116652   -8.2354466   -39.94241752 -104.20647412 -146.06102355
 -111.69844288  -62.21471512  -35.92924801  -17.10412001   -5.00160996
   -0.91462167   -0.33406984]"
rsds,"[  2.04993414  13.60459921  61.73224958 158.54570449 242.50773914
 259.59536173 221.1278316  142.20628069  63.93287313  18.28972841
   3.26096465   0.84026689]"
rlus,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
rlds,"[-38.17318692 -37.42780625 -40.7397422  -46.98894146 -43.76489338
 -36.77124771 -34.32941699 -34.36297448 -37.00139364 -39.75850708
 -40.76649437 -39.95172376]"
hfss,"[-18.77135835 -17.37369806 -14.90831739 -11.9205103   -8.73361005
  -6.46711372  -5.93204964  -6.34443191  -9.77991278 -15.40234455
 -19.92390628 -20.01808528]"
hfls,"[-20.94829201 -20.13434048 -18.22794273 -16.67816401 -18.08486924
 -19.89030058 -18.20827056 -19.18455338 -23.98242078 -25.89044743
 -25.05283477 -22.41206623]"
total,"[-76.93406966 -69.56669218 -52.08617026 -21.2483854   25.86334292
  84.76825684 100.44337929  46.38507291 -23.93497408 -67.7631806
 -83.39689244 -81.87567821]"
siconc,"[12.97405233 13.31915821 13.39621079 13.18912387 12.27455408 10.43020841
  7.83114763  5.70232464  5.85444164  7.67763375 10.06683307 11.98514747]"
area_albedo,"[0.53229345 0.60534283 0.64702676 0.65726457 0.60229428 0.43027904
 0.28135181 0.25265584 0.26753248 0.27346551 0.2804758  0.39757587]"
volume,"[24.71245338 27.50265975 29.61792711 30.88022465 30.28924946 26.32371411
 18.08408687 12.20460408 12.40304808 14.85848763 17.71167267 21.27436117]"
